,lines,month,ridership,additional_platform_time,additional_train_time,over_five_mins_perc,wait_assessment,service_delivered,terminal_on_time_performance,percent_late,infra_critical,noninfra_critical,infra_noncritical,noninfra_noncritical
0,1,1,95010.89655172414,0.6999114,0.5234027,0.07730745,0.77876055,0.99069005,0.83726877,0.03394333,0,0,1082,572
1,1,2,91154.4827586207,1.0039914,0.5949038,0.09609109,0.7481025,0.97463536,0.80843043,0.041466758,4,1,1200,477
2,"1,2,3",1,390608.75,2.72235543,1.67295344,0.330230556,2.12767175,2.8707236,2.37295934,0.107483517,6,4,2820,2035
3,"1,2,3",2,362506.25,2.8628981000000002,1.66800295,0.32492843000000005,2.13107385,2.8699992,2.32790269,0.12470758000000001,5,3,2928,1576
4,"1,R,W",1,241655.0,4.1978396,0.300109473,0.39653781,0.97267348,1.63062668,1.48941386,0.027744086,9,1,3620,635
5,"1,R,W",2,220487.0,3.6602578,0.292961484,0.37768020999999996,1.0231262,1.6644112,1.49668491,0.03550506,9,2,2940,584
6,2,1,28705.0,1.1232483,0.58728504,0.14276768,0.6507053,0.9361881,0.7133803,0.04169014,3,2,1145,890
7,2,2,28112.0,1.1653521,0.53256625,0.13321753,0.67777085,0.94222224,0.7185355,0.043968618,1,2,1042,680
8,"2,3",1,85595.5,2.02244403,1.14955074,0.252923106,1.3489112,1.8800335499999998,1.5356905699999999,0.073540187,6,4,1738,1463
9,"2,3",2,80225.7,1.8589067,1.07309915,0.22883734,1.38297135,1.89536384,1.5194722600000001,0.08324082199999999,1,2,1728,1099
10,"2,3,4,5",1,84722.0,3.89656777,2.4122319,0.5180699559999999,2.6568541000000003,3.7526290099999997,3.0951428599999997,0.137406147,9,8,3314,3232
11,"2,3,4,5",2,79970.0,3.7466933,1.8635963899999999,0.45440785,2.7268789,3.77350036,3.14858011,0.151059801,8,3,3204,2065
12,"2,3,4,5,SF",1,136524.0,4.19965471,2.418221566,0.5549672659999999,3.6492783500000003,4.74884111,4.08549036,0.137406147,9,8,3351,3245
13,"2,3,4,5,SF",2,130247.0,4.0945247,1.8791772869999999,0.50577033,3.7224865,4.77203836,4.14482071,0.151059801,8,3,3213,2073
14,"2,4,5",1,89903.0,2.99737204,1.8499662,0.40791453,1.9586482,2.80878356,2.27283259,0.1055561,6,6,2721,2659
15,"2,4,5",2,87803.0,3.0531387,1.32306349,0.35878804,2.0216784,2.82035876,2.34764335,0.11178759700000002,8,3,2518,1646
16,"2,5",1,48996.76,2.1441607,1.21319184,0.27949571,1.285616,1.8407335,1.4719237299999999,0.073622915,3,5,1966,1793
17,"2,5",2,47173.28,2.1420038999999997,0.8991155900000001,0.24585925,1.33687825,1.86688811,1.5299268499999998,0.08335023,3,3,1628,1253
18,3,1,32094.090909090908,0.89919573,0.5622657,0.110155426,0.6982059,0.94384545,0.82231027,0.031850047,3,2,593,573
19,3,2,30342.636363636364,0.6935546,0.5405329,0.09561981,0.7052005,0.9531416,0.80093676,0.039272204,0,0,686,419
20,"3,4",1,207677.0,1.7524070699999998,1.19904006,0.238574246,1.3712381,1.91189551,1.6232191299999998,0.063783232,6,3,1348,1439
21,"3,4",2,194581.0,1.6046894,0.9644808,0.2085486,1.3900006500000002,1.90661225,1.6186532599999999,0.067709571,5,0,1576,812
22,4,1,49592.0,0.85321134,0.63677436,0.12841882,0.6730322,0.96805006,0.80090886,0.031933185,3,1,755,866
23,4,2,48366.454545454544,0.9111348,0.4239479,0.11292879,0.68480015,0.95347065,0.8177165,0.028437367,5,0,890,393
24,"4,5",1,136210.33333333334,1.87412374,1.26268116,0.26514685,1.3079429,1.87259546,1.5594522899999999,0.06386596,3,4,1576,1769
25,"4,5",2,127204.33333333333,1.8877866,0.79049724,0.22557051,1.34390755,1.87813652,1.62910785,0.067818979,7,1,1476,966
26,"4,5,6",1,330853.0,3.03130074,1.87338296,0.38649403,2.0227494999999998,2.83126572,2.40546179,0.09414179,4,12,2480,2753
27,"4,5,6",2,303800.0,3.0010982000000004,1.36617809,0.33621789,2.04812665,2.83909432,2.46671869,0.10310865899999999,7,4,2406,1757
28,"4,5,6,J,Z",1,234885.0,4.2122157399999995,2.29423008,0.55619705,2.7904907,3.7962252800000003,3.29832439,0.09414179,4,12,2974,2960
29,"4,5,6,J,Z",2,225617.0,4.1333082,1.8900903900000001,0.5170658300000001,2.81921405,3.82022642,3.3544107199999997,0.10310865899999999,8,4,2880,1920
30,5,1,25162.2,1.0209124,0.6259068,0.13672803,0.6349107,0.9045454,0.75854343,0.031932775,0,3,821,903
31,5,2,24655.6,0.9766518,0.36654934,0.11264172,0.6591074,0.92466587,0.81139135,0.039381612,2,1,586,573
32,6,1,88025.79310344828,1.157177,0.6107018,0.12134718,0.7148066,0.95867026,0.8460095,0.03027583,1,8,904,984
33,6,2,86027.24137931035,1.1133116,0.57568085,0.11064738,0.7042191,0.9609578,0.83761084,0.03528968,0,3,930,791
34,7,1,146027.5,0.8874427,0.34600908,0.08022202,0.7164032,0.94738626,0.9342823,0.03370866,1,1,699,229
35,7,2,135256.25,1.2637489,0.73836136,0.11219744,0.65786195,0.90361917,0.90589875,0.04569694,2,1,749,398
36,"7,E,F,M,R",1,485404.0,8.5356883,-0.48852931199999994,0.80416109,2.8159064000000003,4.2913153,4.04666666,0.152419163,20,4,6455,1439
37,"7,E,F,M,R",2,446708.0,8.5349506,0.557972954,0.8477374599999999,2.83967181,4.3001525,3.86044947,0.19524016800000002,23,3,6553,1616
38,"7,N,W",1,113261.0,2.7333565,0.69130695,0.25344571000000005,1.3362505599999999,1.8564772,1.7000758,0.03370866,5,1,2668,692
39,"7,N,W",2,110647.0,2.7087597,1.06410912,0.27451701,1.30884425,1.8301662699999999,1.6962104999999998,0.04569694,3,2,2188,829
40,A,1,31441.761904761905,1.4231993,0.573744,0.14961956,0.64248127,0.94197226,0.80328834,0.036054023,1,0,1253,422
41,A,2,36138.294117647056,0.8700609,0.26011184,0.12354508,0.6767137,0.9650493,0.83270174,0.03045614,0,1,896,296
42,"A,B,C,D,1",1,599400.0,8.3977909,3.8773004400000004,0.86837597,3.28022626,4.600301969999999,3.73785332,0.219423164,3,3,5832,2282
43,"A,B,C,D,1",2,585186.0,6.7667092,2.85520979,0.8040908700000001,3.36764778,4.6683034,3.78929459,0.221115065,13,5,5099,1706
44,"A,C",1,111118.0,3.3790757,1.1064656400000001,0.32626208,1.3058238100000001,1.8528574199999999,1.51745704,0.091746077,2,0,2226,845
45,"A,C",2,106231.5,2.3852646,0.55321792,0.27701908,1.38167965,1.906185,1.57286298,0.084984354,1,1,1684,604
46,"A,C,1",1,223881.0,4.0789871,1.6298683400000002,0.40356953,2.08458436,2.84354747,2.35472581,0.125689407,2,0,3308,1417
47,"A,C,1",2,208760.0,3.3892560000000005,1.14812172,0.37311017,2.12978215,2.88082036,2.38129341,0.126451112,5,2,2884,1081
48,"A,C,B,D",1,196045.0,7.697879500000001,3.3538977400000003,0.79106852,2.5014657099999997,3.60961192,2.9005845500000005,0.18547983399999998,3,3,4750,1710
49,"A,C,B,D",2,199964.0,5.7627178,2.26030599,0.7079997800000001,2.61954528,3.6936680400000004,2.98086416,0.179648307,9,4,3899,1229
50,"A,C,E",1,454283.5,4.7215825,0.7024394900000002,0.44348784,1.86579051,2.70425602,2.31413114,0.120016587,7,0,3790,1115
51,"A,C,E",2,427922.5,3.7580794,0.41398871000000004,0.41140533999999995,1.93409225,2.74694076,2.31291428,0.115279605,8,2,3326,987
52,"A,C,E,2,3,R,W",1,581151.0,9.51866683,1.5783557030000002,0.9433291960000001,3.5448939200000003,5.27294399,4.53594723,0.185246837,21,5,7895,2791
53,"A,C,E,2,3,R,W",2,543510.0,8.407183,1.519937504,0.8943778099999999,3.6634761000000005,5.3416665000000005,4.49636971,0.20356934699999998,18,5,7098,2374
54,"A,C,E,B,D,F,M",1,349310.0,12.994199300000002,2.564547745,1.29169347,4.24814279,6.2320052200000005,5.289348550000001,0.276446251,17,5,8855,2748
55,"A,C,E,B,D,F,M",2,343823.0,10.8186725,2.11270386,1.22817916,4.42921124,6.3523372700000005,5.22904172,0.293686475,22,5,8202,2294
56,"A,C,E,L",1,407967.0,5.7414964,1.2840493400000002,0.5359570260000001,2.60138967,3.67914942,3.22716014,0.154671703,8,1,4478,1471
57,"A,C,E,L",2,374625.0,5.7130508,1.14671731,0.5289307099999999,2.64527255,3.70963966,3.20621934,0.150297935,9,4,4048,1371
58,"A,C,F,R",1,303539.0,7.7856855,0.7260556430000001,0.73577257,2.13399131,3.3841110599999995,2.9279976,0.160074578,16,3,6077,1517
59,"A,C,F,R",2,319951.0,6.358824200000001,0.34177892400000004,0.66581644,2.33479831,3.52789663,2.9532426000000003,0.170838501,13,2,5156,1215
60,"A,C,G",1,108566.0,4.6343312,2.31224354,0.53131066,2.05453041,2.81030422,2.2277278000000003,0.201810822,2,0,3937,1103
61,"A,C,G",2,100092.0,3.5961784000000003,1.73153542,0.47074777999999995,2.1516354,2.8647516,2.33223798,0.206685744,1,1,2855,819
62,"A,C,J,L,Z",1,62240.0,5.5799046,2.10892261,0.588434286,2.8091641700000003,3.79271038,3.32334864,0.126401193,3,1,3408,1408
63,"A,C,J,L,Z",2,57933.0,5.472446,1.8098588199999999,0.57539239,2.86394735,3.8500159999999997,3.35386007,0.120002684,3,3,2880,1151
64,"A,C,J,Z,2,3,4,5",1,835476.0,8.456558470000001,3.93954466,1.014035056,4.730419110000001,6.57044599,5.505462499999999,0.229152224,11,8,6034,4284
65,"A,C,J,Z,2,3,4,5",2,790315.0,7.2641678999999995,2.94072661,0.9122748700000001,4.87964595,6.6608174600000005,5.60913512,0.23604415499999998,10,4,5362,2832
67,"B,D",1,58005.5,4.3188037999999995,2.2474321,0.46480644000000004,1.1956419,1.7567545,1.38312751,0.093733757,1,3,2524,865
68,"B,D",2,55027.3,3.3774531999999997,1.70708807,0.4309807,1.23786563,1.7874830400000001,1.40800118,0.094663953,8,3,2215,625
69,"B,D,4",1,193141.0,5.17201514,2.88420646,0.59322526,1.8686740999999998,2.72480456,2.1840363700000003,0.125666942,4,4,3279,1731
70,"B,D,4",2,182356.0,4.288588,2.13103597,0.54390949,1.92266578,2.74095369,2.22571768,0.12310132,13,3,3105,1018
71,"B,D,F,M",1,606747.0,8.2726168,1.862108255,0.84820563,2.38235228,3.5277491999999997,2.97521741,0.15642966400000002,10,5,5065,1633
72,"B,D,F,M",2,537095.0,7.0605931,1.6987151500000002,0.81677382,2.49511899,3.6053965100000003,2.91612744,0.17840687,14,3,4876,1307
73,"B,D,F,M,6",1,372601.0,9.4297938,2.4728100549999996,0.96955281,3.09715888,4.4864194600000005,3.8212269099999996,0.18670549400000003,11,13,5969,2617
74,"B,D,F,M,6",2,346560.0,8.1739047,2.274396,0.9274212000000001,3.19933809,4.5663543099999995,3.7537382799999994,0.21369655000000004,14,6,5806,2098
75,"B,D,F,M,7",1,517766.0,9.160059500000001,2.208117335,0.92842765,3.09875548,4.47513546,3.90949971,0.19013832400000003,11,6,5764,1862
76,"B,D,F,M,7",2,474480.0,8.324342,2.43707651,0.92897126,3.15298094,4.509015680000001,3.82202619,0.22410381000000001,16,4,5625,1705
