station_complex,month,borough,ridership,lines
1 Av (L),1,Manhattan,256485,L
1 Av (L),2,Manhattan,238896,L
103 St (1),1,Manhattan,113094,1
103 St (1),2,Manhattan,106107,1
103 St (6),1,Manhattan,110822,6
103 St (6),2,Manhattan,103738,6
"103 St (C,B)",1,Manhattan,39135,"C,B"
"103 St (C,B)",2,Manhattan,37727,"C,B"
103 St-Corona Plaza (7),1,Queens,204710,7
103 St-Corona Plaza (7),2,Queens,186267,7
104 St (A),1,Queens,13477,A
104 St (A),2,Queens,12733,A
"104 St (J,Z)",1,Queens,22394,"J,Z"
"104 St (J,Z)",2,Queens,21309,"J,Z"
110 St (6),1,Manhattan,95541,6
110 St (6),2,Manhattan,89020,6
111 St (7),1,Queens,89548,7
111 St (7),2,Queens,90782,7
111 St (A),1,Queens,16943,A
111 St (A),2,Queens,15891,A
111 St (J),1,Queens,17508,J
111 St (J),2,Queens,16495,J
"116 St (2,3)",1,Manhattan,83527,"2,3"
"116 St (2,3)",2,Manhattan,78404,"2,3"
116 St (6),1,Manhattan,101385,6
116 St (6),2,Manhattan,105468,6
"116 St (C,B)",1,Manhattan,58318,"C,B"
"116 St (C,B)",2,Manhattan,56030,"C,B"
116 St-Columbia University (1),1,Manhattan,121865,1
116 St-Columbia University (1),2,Manhattan,153693,1
"121 St (J,Z)",1,Queens,19379,"J,Z"
"121 St (J,Z)",2,Queens,19467,"J,Z"
125 St (1),1,Manhattan,74225,1
125 St (1),2,Manhattan,78438,1
"125 St (2,3)",1,Manhattan,113871,"2,3"
"125 St (2,3)",2,Manhattan,106034,"2,3"
"125 St (4,5,6)",1,Manhattan,220479,"4,5,6"
"125 St (4,5,6)",2,Manhattan,206688,"4,5,6"
"125 St (A,C,B,D)",1,Manhattan,217645,"A,C,B,D"
"125 St (A,C,B,D)",2,Manhattan,218251,"A,C,B,D"
"135 St (2,3)",1,Manhattan,98971,"2,3"
"135 St (2,3)",2,Manhattan,91321,"2,3"
"135 St (C,B)",1,Manhattan,43203,"C,B"
"135 St (C,B)",2,Manhattan,45184,"C,B"
137 St-City College (1),1,Manhattan,92155,1
137 St-City College (1),2,Manhattan,97789,1
"138 St-Grand Concourse (4,5)",1,Bronx,31842,"4,5"
"138 St-Grand Concourse (4,5)",2,Bronx,31307,"4,5"
"14 St (A,C,E)/8 Av (L)",1,Manhattan,407967,"A,C,E,L"
"14 St (A,C,E)/8 Av (L)",2,Manhattan,374625,"A,C,E,L"
"14 St (F,M,1,2,3)/6 Av (L)",1,Manhattan,384972,"F,M,1,2,3,L"
"14 St (F,M,1,2,3)/6 Av (L)",2,Manhattan,363718,"F,M,1,2,3,L"
"14 St-Union Sq (L,N,Q,R,W,4,5,6)",1,Manhattan,830973,"L,N,Q,R,W,4,5,6"
"14 St-Union Sq (L,N,Q,R,W,4,5,6)",2,Manhattan,795975,"L,N,Q,R,W,4,5,6"
145 St (1),1,Manhattan,75890,1
145 St (1),2,Manhattan,71436,1
145 St (3),1,Manhattan,26881,3
145 St (3),2,Manhattan,25273,3
"145 St (A,C,B,D)",1,Manhattan,174445,"A,C,B,D"
"145 St (A,C,B,D)",2,Manhattan,181677,"A,C,B,D"
"149 St-Grand Concourse (2,4,5)",1,Bronx,89903,"2,4,5"
"149 St-Grand Concourse (2,4,5)",2,Bronx,87803,"2,4,5"
"15 St-Prospect Park (F,G)",1,Brooklyn,60910,"F,G"
"15 St-Prospect Park (F,G)",2,Brooklyn,55039,"F,G"
"155 St (B,D)",1,Manhattan,21290,"B,D"
"155 St (B,D)",2,Manhattan,20036,"B,D"
155 St (C),1,Manhattan,19568,C
155 St (C),2,Manhattan,18180,C
157 St (1),1,Manhattan,84570,1
157 St (1),2,Manhattan,81231,1
"161 St-Yankee Stadium (B,D,4)",1,Bronx,193141,"B,D,4"
